subject,trial,window_a,window_b,delta_stability,delta_similarity,delta_entropy,delta_missing_rate,delta_mean_abs_corr,delta_effective_rank
1,11,1000,1200,-9.893075781355551e-06,0.00487133373696802,-0.009485810657059446,0.0,0.013560849403042807,-0.23761028496459957
1,12,200,400,0.00488672047866468,0.10006795532514634,0.031990949562967774,0.0,0.021056144930313686,-0.7722710269507402
1,12,400,600,0.0015250117451849343,0.00791492278081668,0.0015861409004593874,0.0,0.018227992186172548,-0.4074394649882773
1,12,600,800,0.0017103669881351168,0.051310568840155446,0.02873389131376225,0.0,0.027413533344614133,0.021171375369529954
1,12,800,1000,0.0006228561448539949,-0.04658298212038847,-0.019283171915396746,0.0,-0.004852243451053673,-0.2898765655708928
1,12,1000,1200,0.0012480963737889449,0.043915414050368806,-0.025082573683408604,0.0,0.02931956245227424,-0.41476376875938215
1,13,200,400,0.021235307542219396,0.13099981319344323,0.06362709788392529,0.0,0.021702821329478372,-0.7211708353949362
1,13,400,600,0.008283255092269098,0.04473734856192424,0.03626037119945824,0.0,0.018506794567599044,-0.5100754211402734
1,13,600,800,0.009080112472493268,0.06992884980086339,0.0322380540773084,0.0,0.023606709219143263,-0.6868166705296463
1,13,800,1000,0.0010681167745502096,-0.025624369412177217,-0.02253515124228178,0.0,0.003109402971794961,-0.0992516727082915
1,13,1000,1200,0.0031371863257778493,-0.015225596694922572,0.009582808036392443,0.0,0.01868275053531565,0.07028680794194742
1,14,200,400,0.12560475232304377,0.08181009392014582,0.04341187056299445,0.0,0.013077526144777418,-0.25960824194370247
1,14,400,600,0.07159328790668401,0.04281391809451257,0.0388860354473084,0.0,0.019783589865694146,-0.5297835424689019
1,14,600,800,0.18731355727263804,0.08153675532664051,0.06165970750306471,0.0,0.016865447763947272,-0.06025608485305156
1,14,800,1000,-0.0032639272714189427,-0.012959819551280893,-0.013726528117926406,0.0,0.007021968863925837,-0.2366045686153857
